bowlerName,matches,balls_bowled,runs_conceded,wickets,dot_balls,extras,economy,strike_rate,dot_percent,discipline_ratio,wickets_per_match,economy_z,strike_rate_z,dot_percent_z,discipline_ratio_z,wickets_per_match_z
Abbas Afridi,1,20,31,0,4,2,9.299999999999999,20.0,20.0,90.0,0.0,0.5479598779997564,-0.08501156788637555,-1.521938304383636,-1.6754601382273466,-1.354140607763497
Abinash Bohara,3,48,58,1,13,2,7.25,48.0,27.083333333333332,95.83333333333333,0.3333333333333333,-0.07960591249147665,1.7647823954856443,-0.9671435524101902,-0.11186541845717682,-0.895962480133894
Adam Zampa,7,169,187,13,64,1,6.6390532544378695,13.0,37.8698224852071,99.40828402366864,1.8571428571428572,-0.2666348282606205,-0.5474600587293805,-0.12230295377328591,0.8463815568880273,1.19856610331572
Adil Rashid,8,175,186,10,71,7,6.377142857142857,17.5,40.57142857142857,96.0,1.25,-0.3468133675368729,-0.2501717431874488,0.08929754672579983,-0.06719128360659923,0.36402737084751446
Aiden Markram,5,62,69,2,20,2,6.677419354838709,31.0,32.25806451612903,96.7741935483871,0.4,-0.25488982722348935,0.6416932034383466,-0.5618380884447696,0.14032727827995053,-0.8043268546079734
Akeal Hosein,7,152,141,10,79,2,5.565789473684211,15.2,51.973684210526315,98.6842105263158,1.4285714285714286,-0.5951926980041716,-0.40211910446443616,0.9823674181466551,0.6522974145132102,0.6094799392205161
Alei Nao,4,84,73,5,46,6,5.214285714285714,16.8,54.761904761904766,92.85714285714286,1.25,-0.7027984222127364,-0.2964165922717492,1.2007519069818464,-0.9096178265031801,0.36402737084751446
Ali Khan,6,127,181,3,35,11,8.551181102362204,42.333333333333336,27.559055118110237,91.33858267716535,0.5,0.31872420803349455,1.3904193314698785,-0.9298831359969666,-1.3166600000573652,-0.6668734163190925
Alpesh Ramjani,3,66,66,4,35,0,6.0,16.5,53.03030303030303,100.0,1.3333333333333333,-0.46226797986418,-0.31623581330787803,1.065125993588796,1.0049879528072323,0.4785719027549151
Alzarri Joseph,7,154,177,14,63,7,6.896103896103896,11.0,40.909090909090914,95.45454545454545,2.0,-0.18794400429309915,-0.679588198970239,0.11574459983744512,-0.2133975431175766,1.3949281580141213
Andre Russell,7,129,141,12,56,8,6.558139534883721,10.75,43.41085271317829,93.7984496124031,1.7142857142857142,-0.291404917223345,-0.6961042165003464,0.31169250378031077,-0.657305436981653,1.0022040486173185
