bowlerName,batsmanName,total_runs,balls_faced,dismissals,strike_rate,dismissal_ratio
Abbas Afridi,Gareth Delany,15,7,0,214.28571428571428,0.0
Abbas Afridi,Mark Adair,9,7,0,128.57142857142858,0.0
Abinash Bohara,Max O'Dowd,20,13,0,153.84615384615387,0.0
Abinash Bohara,Reeza Hendricks,7,6,0,116.66666666666667,0.0
Abinash Bohara,Taskin Ahmed,9,7,0,128.57142857142858,0.0
Adam Zampa,Ayaan Khan,20,16,1,125.0,0.0625
Adam Zampa,Brandon McMullen,14,9,1,155.55555555555557,0.1111111111111111
Adam Zampa,Gerhard Erasmus,3,8,0,37.5,0.0
Adam Zampa,Ibrahim Zadran,9,8,1,112.5,0.125
Adam Zampa,Jos Buttler,9,6,1,150.0,0.16666666666666666
Adam Zampa,Najmul Hossain Shanto,8,7,1,114.28571428571428,0.14285714285714285
Adam Zampa,Rahmanullah Gurbaz,17,13,0,130.76923076923077,0.0
Adam Zampa,Richie Berrington,10,10,0,100.0,0.0
Adam Zampa,Rohit Sharma,11,6,0,183.33333333333331,0.0
Adam Zampa,Shivam Dube,12,8,0,150.0,0.0
Adam Zampa,Towhid Hridoy,10,7,0,142.85714285714286,0.0
Adil Rashid,Aaron Jones,1,8,1,12.5,0.125
Adil Rashid,Corey Anderson,7,8,0,87.5,0.0
Adil Rashid,Fayyaz Butt,3,8,1,37.5,0.125
Adil Rashid,George Munsey,13,7,0,185.71428571428572,0.0
Adil Rashid,Glenn Maxwell,7,6,1,116.66666666666667,0.16666666666666666
Adil Rashid,Johnson Charles,11,9,0,122.22222222222223,0.0
Adil Rashid,Marcus Stoinis,15,8,0,187.5,0.0
Adil Rashid,Mitchell Marsh,13,7,0,185.71428571428572,0.0
Adil Rashid,Nicholas Pooran,6,6,0,100.0,0.0
Adil Rashid,Quinton de Kock,6,8,0,75.0,0.0
Adil Rashid,Reeza Hendricks,6,6,0,100.0,0.0
Adil Rashid,Rohit Sharma,13,11,1,118.18181818181819,0.09090909090909091
Adil Rashid,Shoaib Khan,8,13,0,61.53846153846154,0.0
Adil Rashid,Suryakumar Yadav,12,11,0,109.09090909090908,0.0
Aiden Markram,Aasif Sheikh,4,7,0,57.14285714285714,0.0
Aiden Markram,Axar Patel,11,7,0,157.14285714285714,0.0
Aiden Markram,Kyle Mayers,16,14,0,114.28571428571428,0.0
Aiden Markram,Roston Chase,12,11,0,109.09090909090908,0.0
Akeal Hosein,Aiden Markram,9,7,0,128.57142857142858,0.0
Akeal Hosein,Assad Vala,2,8,0,25.0,0.0
Akeal Hosein,Devon Conway,3,6,1,50.0,0.16666666666666666
Akeal Hosein,Finn Allen,14,10,0,140.0,0.0
Akeal Hosein,Gulbadin Naib,3,6,0,50.0,0.0
Akeal Hosein,Ibrahim Zadran,15,10,0,150.0,0.0
Akeal Hosein,Jonny Bairstow,15,6,0,250.0,0.0
Akeal Hosein,Jos Buttler,5,7,0,71.42857142857143,0.0
Akeal Hosein,Nitish Kumar,3,8,0,37.5,0.0
Akeal Hosein,Phil Salt,15,12,0,125.0,0.0
Akeal Hosein,Quinton de Kock,12,6,0,200.0,0.0
Akeal Hosein,Robinson Obuya,5,6,0,83.33333333333334,0.0
Akeal Hosein,Sese Bau,6,6,0,100.0,0.0
Alei Nao,Devon Conway,18,11,0,163.63636363636365,0.0
Alei Nao,Gulbadin Naib,15,10,0,150.0,0.0
Alei Nao,Nicholas Pooran,1,8,0,12.5,0.0
Alei Nao,Rahmanullah Gurbaz,7,6,1,116.66666666666667,0.16666666666666666
Alei Nao,Riazat Ali Shah,10,15,1,66.66666666666666,0.06666666666666667
Ali Khan,Aaron Johnson,21,8,0,262.5,0.0
Ali Khan,Heinrich Klaasen,19,8,0,237.5,0.0
Ali Khan,Jos Buttler,13,6,0,216.66666666666666,0.0
Ali Khan,Phil Salt,13,8,0,162.5,0.0
Ali Khan,Quinton de Kock,10,9,0,111.11111111111111,0.0
Ali Khan,Shaheen Shah Afridi,14,10,0,140.0,0.0
Ali Khan,Shai Hope,16,12,0,133.33333333333331,0.0
Ali Khan,Shivam Dube,5,9,0,55.55555555555556,0.0
Ali Khan,Shreyas Movva,23,9,0,255.55555555555554,0.0
Alpesh Ramjani,Ibrahim Zadran,6,8,0,75.0,0.0
Alpesh Ramjani,Johnson Charles,6,8,0,75.0,0.0
Alpesh Ramjani,Kiplin Doriga,10,8,1,125.0,0.125
Alpesh Ramjani,Rahmanullah Gurbaz,22,11,1,200.0,0.09090909090909091
Alzarri Joseph,Andries Gous,15,7,1,214.28571428571428,0.14285714285714285
Alzarri Joseph,Assad Vala,8,6,1,133.33333333333331,0.16666666666666666
Alzarri Joseph,Glenn Phillips,9,6,1,150.0,0.16666666666666666
Alzarri Joseph,Heinrich Klaasen,8,6,1,133.33333333333331,0.16666666666666666
Alzarri Joseph,Ibrahim Zadran,18,9,0,200.0,0.0
Alzarri Joseph,Jonny Bairstow,14,6,0,233.33333333333334,0.0
Alzarri Joseph,Kenneth Waiswa,1,7,0,14.285714285714285,0.0
Alzarri Joseph,Kiplin Doriga,13,8,1,162.5,0.125
Alzarri Joseph,Phil Salt,17,7,0,242.85714285714283,0.0
Alzarri Joseph,Tristan Stubbs,9,7,0,128.57142857142858,0.0
Andre Russell,Aiden Markram,9,7,0,128.57142857142858,0.0
Andre Russell,David Miller,2,6,0,33.33333333333333,0.0
Andre Russell,Glenn Phillips,15,9,0,166.66666666666669,0.0
Andre Russell,Ibrahim Zadran,3,6,0,50.0,0.0
Andre Russell,Milind Kumar,6,8,0,75.0,0.0
Andre Russell,Sese Bau,7,10,0,70.0,0.0
Andre Russell,Tristan Stubbs,3,6,0,50.0,0.0
Angelo Mathews,Aiden Markram,1,6,0,16.666666666666664,0.0
Angelo Mathews,Max O'Dowd,11,7,0,157.14285714285714,0.0
Angelo Mathews,Michael Levitt,9,7,0,128.57142857142858,0.0
Angelo Mathews,Quinton de Kock,9,9,0,100.0,0.0
Anrich Nortje,Aasif Sheikh,4,8,0,50.0,0.0
Anrich Nortje,Andries Gous,25,10,0,250.0,0.0
Anrich Nortje,Angelo Mathews,2,7,1,28.57142857142857,0.14285714285714285
Anrich Nortje,Anil Sah,15,11,0,136.36363636363635,0.0
Anrich Nortje,Axar Patel,5,7,0,71.42857142857143,0.0
Anrich Nortje,Bas de Leede,2,6,1,33.33333333333333,0.16666666666666666
Anrich Nortje,Corey Anderson,8,7,1,114.28571428571428,0.14285714285714285
Anrich Nortje,Gudakesh Motie,5,6,0,83.33333333333334,0.0
Anrich Nortje,Harry Brook,14,9,1,155.55555555555557,0.1111111111111111
Anrich Nortje,Karim Janat,7,6,0,116.66666666666667,0.0
Anrich Nortje,Kusal Mendis,4,8,1,50.0,0.125
Anrich Nortje,Kyle Mayers,2,7,0,28.57142857142857,0.0
Anrich Nortje,Mahmudullah,7,11,0,63.63636363636363,0.0
Anrich Nortje,Rashid Khan,1,6,1,16.666666666666664,0.16666666666666666
Anrich Nortje,Roston Chase,5,6,0,83.33333333333334,0.0
Anrich Nortje,Shivam Dube,12,7,1,171.42857142857142,0.14285714285714285
Anrich Nortje,Sybrand Engelbrecht,7,9,0,77.77777777777779,0.0
Anrich Nortje,Towhid Hridoy,8,9,0,88.88888888888889,0.0
Anrich Nortje,Virat Kohli,6,9,0,66.66666666666666,0.0
Aqib Ilyas,Brandon McMullen,17,8,0,212.5,0.0
Aqib Ilyas,David Warner,8,11,0,72.72727272727273,0.0
Aqib Ilyas,Jan Frylinck,8,12,0,66.66666666666666,0.0
Aqib Ilyas,Marcus Stoinis,5,8,0,62.5,0.0
Aqib Ilyas,Nikolaas Davin,6,9,1,66.66666666666666,0.1111111111111111
Arshdeep Singh,Andries Gous,3,6,1,50.0,0.16666666666666666
Arshdeep Singh,David Warner,6,6,1,100.0,0.16666666666666666
