bowlerName,balls_bowled,dot_balls,runs_conceded,extras,wickets,dot_percent,economy,discipline_ratio
Abbas Afridi,6,3,8,0,0,50.0,8.0,100.0
Abinash Bohara,18,4,31,2,0,22.22222222222222,10.333333333333334,88.88888888888889
Adam Zampa,24,4,32,0,2,16.666666666666664,8.0,100.0
Adil Rashid,12,5,14,0,1,41.66666666666667,7.0,100.0
Ali Khan,42,8,72,4,1,19.047619047619047,10.285714285714286,90.47619047619048
Alzarri Joseph,29,13,31,2,5,44.827586206896555,6.413793103448277,93.10344827586206
Andre Russell,32,12,55,1,6,37.5,10.3125,96.875
Anrich Nortje,44,18,57,2,4,40.909090909090914,7.772727272727273,95.45454545454545
Arshdeep Singh,54,22,62,6,9,40.74074074074074,6.888888888888889,88.88888888888889
Assad Vala,6,0,18,0,0,0.0,18.0,100.0
Axar Patel,6,1,15,0,0,16.666666666666664,15.0,100.0
Azmatullah Omarzai,2,1,2,0,1,50.0,6.0,100.0
Barry McCarthy,6,4,2,0,2,66.66666666666666,2.0,100.0
Bas de Leede,29,10,56,0,2,34.48275862068966,11.586206896551724,100.0
Ben White,6,4,2,0,1,66.66666666666666,2.0,100.0
Bilal Khan,26,6,41,2,1,23.076923076923077,9.461538461538462,92.3076923076923
Brad Currie,6,3,3,0,1,50.0,3.0,100.0
Brad Wheal,28,7,39,0,4,25.0,8.357142857142856,100.0
Brian Masaba,18,5,15,0,2,27.77777777777778,5.0,100.0
Chad Soper,6,4,2,0,0,66.66666666666666,2.0,100.0
Charles Amini,2,1,2,0,0,50.0,6.0,100.0
Chris Jordan,37,14,52,2,10,37.83783783783784,8.432432432432432,94.5945945945946
Chris Sole,6,0,9,0,0,0.0,9.0,100.0
Corey Anderson,18,6,26,0,1,33.33333333333333,8.666666666666666,100.0
Cosmas Kyewuta,34,12,43,3,4,35.294117647058826,7.588235294117647,91.17647058823529
Daryl Mitchell,12,2,35,0,0,16.666666666666664,17.5,100.0
Dasun Shanaka,7,2,11,1,0,28.57142857142857,9.428571428571429,85.71428571428572
David Wiese,19,5,43,0,3,26.31578947368421,13.578947368421053,100.0
Dilon Heyliger,12,4,15,0,0,33.33333333333333,7.5,100.0
