matchID,matchNo,match,currentInning,inningID,over,runningOver,runs,batsmanRuns,batsmanBall,bowlerRuns,shortText,batsmanPlayerID,batsmanName,bowlerPlayerID,bowlerName,isBoundary,isWide,isNoBall,isLegBye,isBye,isWicket,isBowlerWicket,wicketText,wktBatsmanName,wktBowlerName,wktBatsmanRuns,wktbatsmanBalls,commentary,lower_comment,review_outcome
1415701,1st Match,Canada vs United States of America,Canada,1,5.1,6,0,0,1,0,"Harmeet Singh to Johnson, no run",1323683,Aaron Johnson,422847,Harmeet Singh,False,False,False,False,False,False,,,,,,,"A bit of turn in beats the bat, lbw appeal is turned down.","a bit of turn in beats the bat, lbw appeal is turned down.",Unclear
1415701,1st Match,Canada vs United States of America,Canada,1,6.1,7,1,0,1,0,"Jasdeep to Pargat Singh, 1 leg bye",446690,Pargat Singh,772471,Jasdeep Singh,False,False,False,True,False,False,,,,,,,"Big appeal for lbw, not given. Jasdeep chats with the skip, USA decide to review. Good shout but height might be an issue. Was a length ball that angled in, beat the flick and hit over the knee-roll. Hawk-Eye projects that the ball would have gone over the top of the stumps","big appeal for lbw, not given. jasdeep chats with the skip, usa decide to review. good shout but height might be an issue. was a length ball that angled in, beat the flick and hit over the knee-roll. hawk-eye projects that the ball would have gone over the top of the stumps",Unclear
1415701,1st Match,Canada vs United States of America,United States of America,2,0.2,1,0,0,1,0,"Kaleem Sana to Taylor, OUT",348133,Steven Taylor,385938,Kaleem Sana,False,False,False,False,False,True,1.0,Steven Taylor lbw b Kaleem Sana 0 (2b 0x4 0x6 2m) SR: 0,Steven Taylor,b Kaleem Sana,0.0,2.0,"Kaleem strikes second ball! Good length ball around off. Skidding through to Taylor as he goes onto the back foot for a flick. Ball doesn't bounce as expected, and he's been caught in front of middle stump. Taylor reviews but looks despondent, and that's because this is crashing into leg stump. Silence all around the ground, except the DJ's music","kaleem strikes second ball! good length ball around off. skidding through to taylor as he goes onto the back foot for a flick. ball doesn't bounce as expected, and he's been caught in front of middle stump. taylor reviews but looks despondent, and that's because this is crashing into leg stump. silence all around the ground, except the dj's music",Unclear
1415701,1st Match,Canada vs United States of America,United States of America,2,2.2,3,1,0,0,1,"Kaleem Sana to Gous, 1 wide",485379,Andries Gous,385938,Kaleem Sana,False,True,False,False,False,False,,,,,,,Kaleem tries to attack the wide line outside off with a full ball. Gous moves across a little bit but the umpire thinks that's wide,kaleem tries to attack the wide line outside off with a full ball. gous moves across a little bit but the umpire thinks that's wide,Unclear
1415701,1st Match,Canada vs United States of America,United States of America,2,6.5,7,0,0,1,0,"Heyliger to Aaron Jones, no run",957645,Aaron Jones,1061467,Dilon Heyliger,False,False,False,False,False,False,,,,,,,"full ball on his pads. This one angles in and Jones is hit on his pads trying to attempt a flick. But this is missing leg stump so the LBW appeal is turned down. Still, questions asked.","full ball on his pads. this one angles in and jones is hit on his pads trying to attempt a flick. but this is missing leg stump so the lbw appeal is turned down. still, questions asked.",Unclear
1415701,1st Match,Canada vs United States of America,United States of America,2,13.3,14,1,0,0,1,"Gordon to Gous, 1 wide",485379,Andries Gous,276370,Jeremy Gordon,False,True,False,False,False,False,,,,,,,"full ball on leg. And sliding further down leg. Wide given. Gordon isn't happy, thinks it touched Gous' body or bat. Saad takes a review thinking there's a caught-behind even as the umpire signals wide. No edge, the wide will stand.","full ball on leg. and sliding further down leg. wide given. gordon isn't happy, thinks it touched gous' body or bat. saad takes a review thinking there's a caught-behind even as the umpire signals wide. no edge, the wide will stand.",Unclear
1415702,2nd Match,Papua New Guinea vs West Indies,West Indies,2,1.1,2,0,0,1,0,"Nao to Charles, OUT",333066,Johnson Charles,524247,Alei Nao,False,False,False,False,False,True,1.0,Johnson Charles lbw b Nao 0 (1b 0x4 0x6 6m) SR: 0,Johnson Charles,b Nao,0.0,1.0,"Big LBW appeal... Given! Charles reviews straightaway but that looks pretty adjacent... Umpire's Call on impact and Nao starts with a bang! On the money straight away, just getting one to nip in off the straight and hit the right-hander flush on the front pad.","big lbw appeal... given! charles reviews straightaway but that looks pretty adjacent... umpire's call on impact and nao starts with a bang! on the money straight away, just getting one to nip in off the straight and hit the right-hander flush on the front pad.",Umpire Call
1415702,2nd Match,Papua New Guinea vs West Indies,West Indies,2,1.4,2,0,0,1,0,"Nao to Pooran, no run",604302,Nicholas Pooran,524247,Alei Nao,False,False,False,False,False,False,,,,,,,Another LBW appeal.... this time Umpire Rashid Riaz shakes his head. No review and wise from PNG as that looks to have pitched outside leg stump before hitting the front pad... Oh no! It did pitch in line! and it was set to be hitting the stumps flush! Oh dear oh dear - what might have been...,another lbw appeal.... this time umpire rashid riaz shakes his head. no review and wise from png as that looks to have pitched outside leg stump before hitting the front pad... oh no! it did pitch in line! and it was set to be hitting the stumps flush! oh dear oh dear - what might have been...,Unclear
1415702,2nd Match,Papua New Guinea vs West Indies,West Indies,2,8.2,9,1,0,1,0,"Kariko to Chase, 1 leg bye",391832,Roston Chase,1295879,John Kariko,False,False,False,True,False,False,,,,,,,"Darted in, skids off the pitch and into the pads of Chase. Impact comfortably outside leg stump, and they get a single as the ball dribbles down to third","darted in, skids off the pitch and into the pads of chase. impact comfortably outside leg stump, and they get a single as the ball dribbles down to third",Unclear
1415702,2nd Match,Papua New Guinea vs West Indies,West Indies,2,13.6,14,0,0,1,0,"Soper to Powell, OUT",820351,Rovman Powell,574287,Chad Soper,False,False,False,False,False,True,1.0,Rovman Powell c †Doriga b Soper 15 (14b 2x4 0x6 14m) SR: 107.14,Rovman Powell,Soper,15.0,14.0,Caught behind?! The umpire's finger is up as Powell attempts a booming drive! He's sent it upstairs for a review... and it's out! Oh my days! Sliver of a spike on UltraEdge off the inside edge,caught behind?! the umpire's finger is up as powell attempts a booming drive! he's sent it upstairs for a review... and it's out! oh my days! sliver of a spike on ultraedge off the inside edge,Unclear
