matchID,over,bowlerName,runs,isWicket,batsmanName,commentary,summary,sentiment,impact
1415701,0.1,Ali Khan,4,0,Aaron Johnson,"Smacked through extra cover to get the comp underway! Johnson saw it pitched in his half, got his front foot forward and the bat swing came from second slip but went through the line. Ball raced along the ground and in the gap","Aaron Johnson smacked through extra cover to get the comp underway. Johnson saw it pitched in his half, got his front foot forward and the bat swing came from second slip.",Neutral,High
1415701,0.1,Kaleem Sana,0,0,Steven Taylor,left-armer to left-hand batter. Full outside off with a slight outswing. Left alone,Over 0 by Kaleem Sana to Steven Taylor. left-armer to left-hand batter. Full outside off with a slight outswing. Left alone.,Neutral,High
1415701,0.2,Ali Khan,0,0,Aaron Johnson,Tries to pull the hard-length ball but plinks it just in front,Aaron Johnson tries to pull the hard-length ball but plinks it just in front. Over 0 by Ali Khan to Aaron Johnson.,Neutral,High
1415701,0.2,Kaleem Sana,0,1,Steven Taylor,"Kaleem strikes second ball! Good length ball around off. Skidding through to Taylor as he goes onto the back foot for a flick. Ball doesn't bounce as expected, and he's been caught in front of middle stump. Taylor reviews but looks despondent, and that's because this is crashing into leg stump. Silence all around the ground, except the DJ's music",Kaleem Sana strikes second ball! Good length ball around off. Skidding through to Taylor as he goes onto the back foot for a flick.,Neutral,High
1415701,0.3,Ali Khan,1,0,Aaron Johnson,"Length on top of the pad, a bit too leg side. Beats the flick and deflects towards square leg","Over 0 by Ali Khan to Aaron Johnson. Length on top of the pad, bit too leg side. Beats the flick and deflects towards square leg.",Neutral,High
1415701,0.3,Kaleem Sana,0,0,Andries Gous,length ball around off and fended first ball by Gous,"Kaleem Sana to Andries Gous. length ball around off and fended first ball by Gous, first ball fended. Over 0.",Neutral,High
1415701,0.4,Ali Khan,0,0,Navneet Dhaliwal,"A bit of shape away to beat the edge. Length ball, lands around fifth and Dhaliwal tries following it with a back-foot square drive. Misses","Over 0 by Ali Khan to Navneet Dhaliwal. A bit of shape away to beat the edge. Length ball, lands around fifth.",Neutral,High
1415701,0.4,Kaleem Sana,0,0,Andries Gous,full ball outside off. Angling across the batter. Tries to drive away from his body but misses,Over 0 by Kaleem Sana to Andries Gous. full ball outside off. Angling across the batter. Tries to drive away from his body but misses.,Neutral,High
1415701,0.5,Ali Khan,0,0,Navneet Dhaliwal,"Pitched up on middle and off, driven to mid-off. No lateral movement there","Over 0 by Ali Khan to Navneet Dhaliwal. Pitched up on middle and off, driven to mid-off.",Neutral,High
1415701,0.5,Kaleem Sana,0,0,Andries Gous,full ball away from his body. Sliding across and Gous attempts the drive once again. Misses out and the keeper dives to his right to get there,"Andries Gous misses a second-half chance to make it 2-0. Kaleem Sana played the ball over to Gous, who missed the shot.",Neutral,High
