match_id,over,over_runs,wickets,run_rate,rr_delta,wkt_delta,momentum_shift
64814,0.0,0,1,0.0,0.0,0.0,0
64814,1.0,4,0,4.0,4.0,-1.0,1
64814,2.0,6,0,6.0,2.0,0.0,0
64814,3.0,4,0,4.0,-2.0,0.0,0
64814,4.0,6,0,6.0,2.0,0.0,0
64814,5.0,12,0,12.0,6.0,0.0,1
64814,6.0,2,0,2.0,-10.0,0.0,1
64814,7.0,3,0,3.0,1.0,0.0,0
64814,8.0,1,0,1.0,-2.0,0.0,0
64814,9.0,4,0,4.0,3.0,0.0,1
64814,10.0,0,0,0.0,-4.0,0.0,1
64814,11.0,4,0,4.0,4.0,0.0,1
64814,12.0,1,0,1.0,-3.0,0.0,1
64814,13.0,10,0,10.0,9.0,0.0,1
64814,14.0,3,1,3.0,-7.0,1.0,1
64814,15.0,6,0,6.0,3.0,-1.0,1
64814,16.0,4,0,4.0,-2.0,0.0,0
64814,17.0,3,0,3.0,-1.0,0.0,0
64814,18.0,3,0,3.0,0.0,0.0,0
64814,19.0,10,0,10.0,7.0,0.0,1
64814,20.0,6,0,6.0,-4.0,0.0,1
64814,21.0,6,0,6.0,0.0,0.0,0
64814,22.0,4,0,4.0,-2.0,0.0,0
64814,23.0,2,2,2.0,-2.0,2.0,1
64814,24.0,3,0,3.0,1.0,-2.0,0
64814,25.0,4,0,4.0,1.0,0.0,0
64814,26.0,5,0,5.0,1.0,0.0,0
64814,27.0,6,0,6.0,1.0,0.0,0
64814,28.0,11,0,11.0,5.0,0.0,1
64814,29.0,4,0,4.0,-7.0,0.0,1
64814,30.0,2,0,2.0,-2.0,0.0,0
64814,31.0,13,0,13.0,11.0,0.0,1
64814,32.0,10,0,10.0,-3.0,0.0,1
64814,33.0,8,0,8.0,-2.0,0.0,0
64814,34.0,8,0,8.0,0.0,0.0,0
64814,35.0,4,1,4.0,-4.0,1.0,1
64814,36.0,5,1,5.0,1.0,0.0,0
64814,37.0,2,0,2.0,-3.0,-1.0,1
64814,38.0,6,0,6.0,4.0,0.0,1
