batsmanName,Death,Middle,Powerplay
Aaron Johnson,0.0,8.0,8.0748987854251
Aaron Jones,12.160714285714285,5.368742368742368,4.385964912280702
Aasif Sheikh,3.0,6.0,5.066666666666666
Abbas Afridi,2.25,6.461538461538462,0.0
Abinash Bohara,0.0,0.0,0.0
Adam Zampa,7.7142857142857135,0.0,0.0
Adil Rashid,0.0,6.0,0.0
Aiden Markram,0.0,6.0625,4.647321428571429
Akeal Hosein,0.8571428571428571,6.397058823529411,0.0
Alei Nao,3.1904761904761902,5.0769230769230775,0.0
Ali Khan,6.428571428571428,0.0,0.0
Alpesh Ramjani,0.0,0.0,2.45
Alzarri Joseph,8.142857142857142,0.0,0.0
Andre Russell,11.4,6.222222222222221,0.0
Andries Gous,11.5,8.772659124982964,8.342191142191142
Andy Balbirnie,0.0,0.0,2.9956709956709964
Angelo Mathews,9.59090909090909,5.875,0.0
Anil Sah,0.0,5.461538461538462,3.4285714285714284
Anrich Nortje,6.0,0.0,0.0
Aqib Ilyas,0.0,0.0,6.7
Arshdeep Singh,6.0,2.571428571428571,0.0
Aryan Dutt,8.0,7.199999999999999,0.0
Ashton Agar,1.5,6.0,0.0
Assad Vala,0.0,0.0,4.434782608695652
Axar Patel,8.033333333333333,7.115384615384616,7.6923076923076925
Ayaan Khan,10.363636363636363,4.520380434782608,0.0
Azam Khan,0.0,0.0,0.0
Azmatullah Omarzai,7.8,5.987061810370081,5.0
Babar Azam,6.0,7.057142857142857,4.517532467532468
Barry McCarthy,6.0,0.8571428571428571,0.0
Bas de Leede,6.75,3.0666666666666664,1.7142857142857142
Ben Shikongo,0.0,0.0,0.0
Ben White,1.090909090909091,3.25,0.0
Bernard Scholtz,9.0,0.0,0.0
Bilal Hassan,0.0,3.375,0.0
Bilal Khan,4.5,0.0,0.0
Brandon King,0.0,10.071428571428571,8.43
Brandon McMullen,0.0,11.676190476190476,6.741176470588235
Brian Masaba,2.25,1.5,0.0
Chad Soper,4.833333333333334,2.5714285714285716,1.7999999999999998
Charith Asalanka,18.0,6.926984126984127,0.0
Charles Amini,0.0,4.285714285714286,2.7692307692307696
Chris Greaves,7.0,0.0,0.0
Chris Jordan,4.0,1.2,0.0
Corey Anderson,2.8333333333333335,5.332363636363636,0.0
Cosmas Kyewuta,1.0,3.5,0.0
Curtis Campher,0.0,4.142857142857143,6.0
Daryl Mitchell,0.0,7.51923076923077,6.0
